 ,,,,,,,Dolar al dia,$18.50,,% Desc Compe.,96%,,IGI,0%,Imp y Flete,23%,Dll banca,$18.75,,,,,,,Descuento Ervey,14%,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,Barcode,Foto URL,Nombre Eng,Nombre Esp,Descripcion,UVA Nombre,Item Code,Uni Code,Categoria,Montaje,Tipo,$ Venta,Rotacion,Stock,Status,Notes,Pedido ,$ ZG,$ Oth,$ BM,$ Ptij dll,$ Ptij mxn,Veces G,,"PRECIO
OG",PRECIO ERVEY,VG CABOS,,,,"PRECIO ESP
TIJUANA"
1448,,,,"End hose 4"" 6 MT single flange / Manguera terminal 4"" 6 MT single brida",,,SOM10026,,Tuberia,Sistema de bombeo de concreto,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1449,,,,"End hose 4"" 6 MT double flange / Manguera terminal 4"" 6 MT doble brida",,,SOM10091,,Tuberia,Sistema de bombeo de concreto,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1450,,,,"cone hose 5"" - 4"" 3,5 mt / Manguera cónica reductora 5"" a 4"" x 3.5 metros",,,SOM10092,,Tuberia,Sistema de bombeo de concreto,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1451,,,,"cone hose 5"" - 4"" 3,5 mt / Manguera cónica reductora 5"" a 4"" x 3.5 metros",,,SOM10093,,Tuberia,Sistema de bombeo de concreto,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1452,,,,"cone hose 4"" - 3"" 3 mt / Manguera cónica reductora 4"" a 3"" x 3 metros",,,SOM10093,,Tuberia,Sistema de bombeo de concreto,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1453,,,,delivery hose handle / Asa/mango para mangueras,,,SOM10094,,Tuberia,Sistema de bombeo de concreto,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1454,,,,"5,5"" 30 degree twin wall elbow R275 / Codo de 5.5"" a 30° Twin Wall (doble pared) R275",,,SOM10095,,Tuberia,Componentes estructurales y de montaje,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1455,,,,"5,5"" 45 degree twin wall elbow R275 / Codo de 5.5"" a 45° Twin Wall (doble pared) R275",,,SOM10096,,Tuberia,Sistema de bombeo de concreto,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1456,,,,"5,5"" 90° degree twin wall elbow R275 / Codo de 5.5"" a 90° Twin Wall (doble pared) R275",,,SOM10097,,Tuberia,Componentes estructurales y de montaje,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1457,,,,"5,5"" TWIN WALL PIPE 3 MT / Tubo Twin Wall (doble pared) de 5.5"" x 3 metros",,,SOM10098,,Tuberia,Sistema de bombeo de concreto,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1458,,,,"5,5"" TWIN WALL PIPE 3 MT (EXTRA H.Q) / Tubo endurecido de 5.5"" x 3 metros (Extra Alta Calidad)",,,SOM10110,,Tuberia,Componentes estructurales y de montaje,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1459,,,,"5,5"" ST-52 steel pipe 3 mt / Tubo de acero ST-52 de 5.5"" (140mm) x 3 metros",,,SOM10150,,Tuberia,Componentes estructurales y de montaje,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1460,,,,"4,5"" pipe flange / Brida para tubería de 4.5""",,,SOM10160,,Tuberia,Componentes estructurales y de montaje,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1461,,,,"5,5"" pipe flange / Brida para tubería de 4.5""",,,SOM10161,,Tuberia,Componentes estructurales y de montaje,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1462,,,,"5,5"" pipe flange head type / Brida tipo ""Head"" de 5.5"" (140mm)",,,SOM10162,,Tuberia,Componentes estructurales y de montaje,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1463,,,,"5,5"" 30 degree elbow R275 / Codo de 5.5"" a 30° con radio R275",,,SOM10163,,Tuberia,Componentes estructurales y de montaje,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1464,,,,"5,5"" 45 degree elbow R275 / Codo de 5.5"" a 45° con radio R275",,,SOM10164,,Tuberia,Componentes estructurales y de montaje,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1465,,,,"5,5"" 90 degree elbow R275 / Codo de 5.5"" a 90° con radio R275",,,SOM10165,,Tuberia,Componentes estructurales y de montaje,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1466,,,,"4,5"" 90 degree elbow R275 / Codo de 4.5"" a 90° con radio R275",,,SOM10167,,Tuberia,Componentes estructurales y de montaje,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1467,,,,"4,5"" ST-52 Steel pipe 3MT / Tubo de acero ST-52 de 4.5"" (114.3mm) x 3 metros",,,SOM10169,,Tuberia,Componentes estructurales y de montaje,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1468,,,,"5,5"" clamp coupling / Acoplamiento de abrazadera de 5.5""",,,SOM10176,,Tuberia,Componentes estructurales y de montaje,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1469,,,,"5,5"" Allen coupling / Acoplamiento Allen de 5.5""",,,SOM10177,,Tuberia,Componentes estructurales y de montaje,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1470,,,,"5,5"" mounted Allen coupling / Acoplamiento Allen montado de 5.5""",,,SOM10178,,Tuberia,Componentes estructurales y de montaje,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1471,,,,"5,5"" m16 bolt clamp coupling / Acoplamiento de abrazadera de 5.5"" con tornillos M16",,,SOM10179,,Tuberia,Componentes estructurales y de montaje,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1472,,,,"5,5"" Small mounted clamp coupling / Acoplamiento de abrazadera pequeño montado de 5.5""",,,SOM10181,,Tuberia,Componentes estructurales y de montaje,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1473,,,,"5,5"" long mounted clamp coupling / Acoplamiento de abrazadera largo montado de 5.5""",,,SOM10183,,Tuberia,Componentes estructurales y de montaje,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1474,,,,"5,5"" M16 BOLT clamp coupling / Acoplamiento de abrazadera de 5.5"" con tornillos M16",,,SOM10184,,Tuberia,Componentes estructurales y de montaje,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1475,,,,"5,5"" M16 BOLT MOUNTED CLAMP COUPLING / Acoplamiento de abrazadera montado de 5.5"" con tornillos M16",,,SOM10185,,Tuberia,Componentes estructurales y de montaje,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1476,,,,"5,5"" scew front fixing long mounted coupling /Acoplamiento largo montado de 5.5"" con fijación frontal roscada",,,SOM10186,,Tuberia,Componentes estructurales y de montaje,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1477,,,,Round steel strip / Tira de acero redonda,,,SOM10187,,Bombeo de concreto,Componentes estructurales y de montaje,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1478,,,,Round Steel Rubber / Junta tórica redonda de acero,,,SOM10188,,Bombeo de concreto,Sellos y retenes,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1479,,,,Cleaning ball Q100 Medium / Cleaning ball Q100 Medium,,,SOM10193,,Bombeo de concreto,Sistema de bombeo de concreto,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1483,,,,"Sealing 5,5"" / Sello de 5.5""",,,SOM10215,,Bombeo de concreto,Sellos y retenes,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1485,,,,"Sealing 6"" / Sello de 6""",,,SOM10217,,Bombeo de concreto,Sellos y retenes,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1486,,,,Support plate 55 x 55 x 6 / Placa de soporte de 55x55x6 mm,,,SOM10219,,Bombeo de concreto,Componentes estructurales y de montaje,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,95,$0.00,#DIV/0!,,"$1,542",,
1487,,,,Support plate 60 x 60 x 6 / Placa de soporte de 60 x 60 x6 mm,,,SOM10220,,Bombeo de concreto,Componentes estructurales y de montaje,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1488,,,,"Shut Off valve 5,5"" / Válvula de cierre (shut-off) de 5.5""",,,SOM10222,,Bombeo de concreto,Componentes hidráulicos,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1489,,,,"Shut off valve 4,5"" / Válvula de cierre (shut-off) de 4.5""",,,SOM10223,,Bombeo de concreto,Componentes hidráulicos,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1490,,,,Concrete pump hose placing steel disc / Disco de acero para mangueras de bombeo de concreto,,,SOM10228,,Bombeo de concreto,Sistema de bombeo de concreto,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1491,,,,"4,5"" 90° degree elbow R180 / Codo de 4.5"" a 90° con radio R180",,,SOM10254,,Bombeo de concreto,Componentes estructurales y de montaje,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1492,,,,"External shut off valve 5,5"" / Válvula de cierre externa de 5.5""",,,SOM10260,,Bombeo de concreto,Componentes hidráulicos,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1493,,,,"5,5"" degree elbow R275 - extra / Codo extra de 5.5"" a 90° con radio R275",,,SOM10261,,Bombeo de concreto,Componentes estructurales y de montaje,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1494,,,,Q155 x 175 cylindrical sponge ball soft / Bola esponja cilíndrica suave Q155 x 175,,,SOM10277,,Bombeo de concreto,Sistema de bombeo de concreto,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1501,,,,Thrust ring without steel / Anillo de empuje sin acero,,,SOM20006,269380008,Putzmeister,Sellos y retenes,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1502,,,,Spacer Disc / Disco espaciador,,,SOM20007,284606000,Putzmeister,Componentes estructurales y de montaje,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1504,,,,Securing plate / Placa de sujeción,,,SOM20009,254200000,Putzmeister,Componentes estructurales y de montaje,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1505,,,,S valve shaft Q80 / Eje para válvula tipo S modelo Q80,,,SOM20010,242467003,Putzmeister,Componentes hidráulicos,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1506,,,,Hexagonal Nut / Tuerca hexagonal,,,SOM20011,33718000,Putzmeister,Componentes estructurales y de montaje,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1508,,,,Collar disc / Disco de collar,,,SOM20013,66586005,Putzmeister,Componentes estructurales y de montaje,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1509,,,,Wear sleeve Q80 / Camisa de desgaste Q80,,,SOM20014,27782000,Putzmeister,Sellos y retenes,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1510,,,,Support Flange Q80 / Brida de soporte Q80,,,SOM200015,27783009,Putzmeister,Componentes estructurales y de montaje,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1511,,,,Lip seal ring / Anillo de sello de labio,,,som20016,42174004,Putzmeister,Sellos y retenes,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1514,,,,Discharge support / Soporte de descarga,,,SOM20019,240390004,Putzmeister,Componentes estructurales y de montaje,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1516,,,,Plain compressión ring / Anillo de compresión liso,,,SOM20021,240421009,Putzmeister,Sellos y retenes,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1518,,,,G BAND / Junta tipo G,,,SOM20023,295355007,Putzmeister,Sellos y retenes,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1519,,,,O ring / junta tórica,,,SOM20024,43520000,Putzmeister,Sellos y retenes,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1520,,,,SCRAPER RING / Anillo rascador,,,SOM20025,238585009 / 437267,Putzmeister,Sellos y retenes,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1521,,,,Back up ring / Anillo de respaldo,,,SOM20026,263288009,Putzmeister,Sellos y retenes,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1522,,,,SEAL SET FOR OUTHER HOUSING / Juego de sellos para carcasa exterior,,,SOM200027,24039000KIT,Putzmeister,Sellos y retenes,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1523,,,,Hopper RS905 CPL / Tolva RS905 CPL,,,SOM20028,454413,Putzmeister,Componentes para silos,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1524,,,,GRILL RS905 FOLDABLE / Rejilla plegable RS905,,,SOM20029,242456001 / 400915,Putzmeister,Componentes para silos,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1526,,,,Rubber buffer / Amortiguador de goma,,,SOM20034,4587002 / 4266007,Putzmeister,Componentes estructurales y de montaje,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1529,,,,Plunger tube Q160-60  / Tubo de émbolo Q160-60,,,SOM20037,254428001,Putzmeister,Componentes hidráulicos,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1530,,,,Piston ROD Q160-60 / Vástago de pistón Q160-60,,,SOM20038,254427002,Putzmeister,Componentes hidráulicos,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1533,,,,Ball cup 160/40 / Copa de bola 160/40,,,SOM20041,87079009,Putzmeister,Componentes hidráulicos,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1534,,,,S VALVE 2318N / Válvula tipo S modelo 2318N,,,SOM20042,434023,Putzmeister,Componentes hidráulicos,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1537,,,,DN230 THRUST RING WITH STEEL / Anillo de empuje DN230 con refuerzo de acero,,,SOM20046,458878 / 2695520004,Putzmeister,Componentes estructurales y de montaje,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1538,,,,S VALVE SHAFT Q90 / Eje para válvula tipo S modelo Q90,,,SOM20047,,Putzmeister,Componentes hidráulicos,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1540,,,,COMPLETE UPPER HOUSING Q90 / Carcasa superior completa Q90,,,SOM20049,27483001,Putzmeister,Componentes estructurales y de montaje,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1541,,,,COLLAR DISC / Disco de collar,,,SOM20050,427720,Putzmeister,Componentes estructurales y de montaje,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1542,,,,Support flange Q90 /,,,SOM20051,274889002,Putzmeister,Componentes estructurales y de montaje,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1543,,,,WEAR SLEEVE Q90 / Camisa de desgaste Q90,,,SOM20052,274884007,Putzmeister,Sellos y retenes,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1547,,,,Plunger tube Q160-80 / Tubo de émbolo Q160-80,,,SOM20056,247574001,Putzmeister,Componentes hidráulicos,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1548,,,,Piston Rod Q160-80 / Vástago de pistón Q160-80,,,SOM20057,247573002,Putzmeister,Componentes hidráulicos,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1549,,,,Seal set for plunger cylinder Q160-80 /Juego de sellos para cilindro de émbolo Q160-80,,,som20058,247093003kit,Putzmeister,Sellos y retenes,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1550,,,,Plunger cylinder Q200-80 / Cilindro de émbolo Q200-80,,,SOM20063,278901009,Putzmeister,Componentes hidráulicos,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1551,,,,Plunger tube Q200 - 80 / Tubo de émbolo Q200-80,,,SOM20064,278902008,Putzmeister,Componentes hidráulicos,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1552,,,,Piston Rod Q200-80 / Vástago de pistón Q200-80,,,SOM20065,278904006,Putzmeister,Componentes hidráulicos,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1553,,,,Plunger cylinder Cover Q200-80 / Tapa cilindro de émbolo Q200-80,,,SOM20066,278903007,Putzmeister,Componentes hidráulicos,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1554,,,,Juego de sellos para cilindro de émbolo Q200-80 / Seal set for plunger cyllinder Q200 - 80,,,SOM20067,278901009KIT,Putzmeister,Sellos y retenes,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1556,,,,Round cord / Cuerda redonda,,,SOM20070,233915001,Putzmeister,Componentes estructurales y de montaje,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1557,,,,"Bokc, Right Hand Side / Bloque, lado derecho",,,SOM20071,252842003,Putzmeister,Componentes estructurales y de montaje,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1558,,,,"Bock, left hand side / Bloque, lado izquierdo",,,SOM20072,252847004,Putzmeister,Componentes estructurales y de montaje,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1562,,,,Torque support /Soporte de torque,,,SOM20077,258034006,Putzmeister,Componentes estructurales y de montaje,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1564,,,,Flnage for bearing flange Q60 / Brida para soporte de rodamiento Q60,,,SOM20080,262133003,Putzmeister,Componentes estructurales y de montaje,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1568,,,,Washer / Arandela,,,SOM20084,55916000,Putzmeister,Componentes estructurales y de montaje,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1569,,,,Mixer shaft center part Q60 / Parte central del eje de mezcladora Q60,,,SOM20085,264020004,Putzmeister,Componentes estructurales y de montaje,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1571,,,,Foldable elbow / Codo plegable,,,SOM20088,417730 / 22327004,Putzmeister,Componentes estructurales y de montaje,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1573,,,,Reduction pipe 1200 mm / Tubo reductor de 1200 mm,,,som20090,277401005 / 438338,Putzmeister,Componentes estructurales y de montaje,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1575,,,,"6"" Coupling with screw / Acoplamiento de 6"" con tornillo",,,SOM20093,241292004,Putzmeister,Componentes estructurales y de montaje,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1576,,,,SEALING COVER COUPLING / Cubierta de sellado para acoplamiento,,,Som20094,51342005,Putzmeister,Sellos y retenes,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1577,,,,Sealing cover / Cubierta de sellado,,,SOM20095,54720006,Putzmeister,Sellos y retenes,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1581,,,,Intermediate ring / Anillo intermedio,,,SOM20099,25220001,Putzmeister,Componentes estructurales y de montaje,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1582,,,,Intermediate ring / Anillo intermedio,,,SOM20100,263330009,Putzmeister,Componentes estructurales y de montaje,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1583,,,,Delivery cylinder 230X2100,,,som20101,239867001,Putzmeister,Componentes hidráulicos,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1585,,,,Delivery cylinder 200X1400 /  Cilindro de entrega 200X1400,,,SOM20103,240112004,Putzmeister,Componentes hidráulicos,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1586,,,,Delivery cylinder 230X2100 /  Cilindro de entrega 230X2100,,,SOM20104,22051008,Putzmeister,Componentes hidráulicos,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1587,,,,Delivery cylinder 280x2355 / Cilindro de entrega 280x2355,,,SOM20105,231149002,Putzmeister,Componentes hidráulicos,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1588,,,,Delivery cylinder 250x2310 / Cilindro de entrega 250x2310,,,SOM20106,27483008,Putzmeister,Componentes hidráulicos,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1589,,,,DN180 PISTON RAM / Émbolo de pistón DN180,,,SOM20107,19033000,Putzmeister,Componentes hidráulicos,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1593,,,,DN 200 SEAL FOR RAM / Sello para vástago DN200,,,SOM20115,80372004,Putzmeister,Componentes hidráulicos,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1594,,,,DN 230 SEAL FOR RAM / Sello para vástago DN230,,,SOM20116,80373003,Putzmeister,Sellos y retenes,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1599,,,,Spacer flange / Brida espaciadora,,,SOM20122,243989001,Putzmeister,Componentes estructurales y de montaje,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1601,,,,"Spectacle wear plate elephant / Placa de desgaste tipo ""espectáculo"" Elephant",,,SOM20124,283353008,Putzmeister,Componentes estructurales y de montaje,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1602,,,,Wear ring elephant / Anillo de desgaste Elephant,,,SOM20125,293151009 / 293397009,Putzmeister,Sellos y retenes,Sin Asignar,$0.00,,,No Available,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
